date,sensor,filename
2005027,LT5,/projectnb/landsat/projects/Massachusetts/p013r031/images/LT50130312005027GNC01/LT50130312005027GNC01_all
2005051,LE7,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312005051EDC00/LE70130312005051EDC00_all
2005075,LT5,/projectnb/landsat/projects/Massachusetts/p013r031/images/LT50130312005075GNC01/LT50130312005075GNC01_all
2005099,LE7,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312005099EDC00/LE70130312005099EDC00_all
2005107,LT5,/projectnb/landsat/projects/Massachusetts/p013r031/images/LT50130312005107GNC01/LT50130312005107GNC01_all
2005123,LT5,/projectnb/landsat/projects/Massachusetts/p013r031/images/LT50130312005123GNC01/LT50130312005123GNC01_all
2005131,LE7,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312005131EDC00/LE70130312005131EDC00_all
2005139,LT5,/projectnb/landsat/projects/Massachusetts/p013r031/images/LT50130312005139GNC01/LT50130312005139GNC01_all
2005147,LE7,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312005147EDC00/LE70130312005147EDC00_all
2005155,LT5,/projectnb/landsat/projects/Massachusetts/p013r031/images/LT50130312005155GNC01/LT50130312005155GNC01_all
2005163,LE7,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312005163EDC00/LE70130312005163EDC00_all
2005171,LT5,/projectnb/landsat/projects/Massachusetts/p013r031/images/LT50130312005171GNC01/LT50130312005171GNC01_all
2005195,LE7,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312005195EDC00/LE70130312005195EDC00_all
2005203,LT5,/projectnb/landsat/projects/Massachusetts/p013r031/images/LT50130312005203GNC01/LT50130312005203GNC01_all
2005211,LE7,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312005211EDC00/LE70130312005211EDC00_all
2005219,LT5,/projectnb/landsat/projects/Massachusetts/p013r031/images/LT50130312005219GNC01/LT50130312005219GNC01_all
2005235,LT5,/projectnb/landsat/projects/Massachusetts/p013r031/images/LT50130312005235GNC02/LT50130312005235GNC02_all
2005251,LT5,/projectnb/landsat/projects/Massachusetts/p013r031/images/LT50130312005251GNC01/LT50130312005251GNC01_all
2005267,LT5,/projectnb/landsat/projects/Massachusetts/p013r031/images/LT50130312005267GNC01/LT50130312005267GNC01_all
2005275,LE7,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312005275EDC00/LE70130312005275EDC00_all
2005291,LE7,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312005291EDC00/LE70130312005291EDC00_all
2005307,LE7,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312005307EDC00/LE70130312005307EDC00_all
2005315,LT5,/projectnb/landsat/projects/Massachusetts/p013r031/images/LT50130312005315GNC01/LT50130312005315GNC01_all
2005323,LE7,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312005323EDC00/LE70130312005323EDC00_all
2005339,LE7,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312005339EDC00/LE70130312005339EDC00_all
2005355,LE7,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312005355EDC00/LE70130312005355EDC00_all
2006022,LE7,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312006022EDC00/LE70130312006022EDC00_all
2006030,LT5,/projectnb/landsat/projects/Massachusetts/p013r031/images/LT50130312006030GNC01/LT50130312006030GNC01_all
2006038,LE7,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312006038EDC00/LE70130312006038EDC00_all
2006046,LT5,/projectnb/landsat/projects/Massachusetts/p013r031/images/LT50130312006046GNC01/LT50130312006046GNC01_all
2006062,LT5,/projectnb/landsat/projects/Massachusetts/p013r031/images/LT50130312006062GNC01/LT50130312006062GNC01_all
2006070,LE7,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312006070EDC00/LE70130312006070EDC00_all
2006086,LE7,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312006086EDC00/LE70130312006086EDC00_all
2006102,LE7,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312006102EDC00/LE70130312006102EDC00_all
2006110,LT5,/projectnb/landsat/projects/Massachusetts/p013r031/images/LT50130312006110GNC01/LT50130312006110GNC01_all
2006118,LE7,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312006118EDC00/LE70130312006118EDC00_all
2006126,LT5,/projectnb/landsat/projects/Massachusetts/p013r031/images/LT50130312006126GNC01/LT50130312006126GNC01_all
2006142,LT5,/projectnb/landsat/projects/Massachusetts/p013r031/images/LT50130312006142GNC01/LT50130312006142GNC01_all
2006150,LE7,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312006150EDC00/LE70130312006150EDC00_all
2006166,LE7,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312006166EDC00/LE70130312006166EDC00_all
2006174,LT5,/projectnb/landsat/projects/Massachusetts/p013r031/images/LT50130312006174GNC01/LT50130312006174GNC01_all
2006182,LE7,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312006182EDC00/LE70130312006182EDC00_all
2006190,LT5,/projectnb/landsat/projects/Massachusetts/p013r031/images/LT50130312006190GNC02/LT50130312006190GNC02_all
2006198,LE7,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312006198EDC00/LE70130312006198EDC00_all
2006206,LT5,/projectnb/landsat/projects/Massachusetts/p013r031/images/LT50130312006206GNC01/LT50130312006206GNC01_all
2006214,LE7,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312006214EDC00/LE70130312006214EDC00_all
2006222,LT5,/projectnb/landsat/projects/Massachusetts/p013r031/images/LT50130312006222GNC01/LT50130312006222GNC01_all
2006230,LE7,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312006230EDC00/LE70130312006230EDC00_all
2006254,LT5,/projectnb/landsat/projects/Massachusetts/p013r031/images/LT50130312006254GNC01/LT50130312006254GNC01_all
2006262,LE7,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312006262EDC00/LE70130312006262EDC00_all
2006270,LT5,/projectnb/landsat/projects/Massachusetts/p013r031/images/LT50130312006270GNC01/LT50130312006270GNC01_all
2006278,LE7,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312006278EDC00/LE70130312006278EDC00_all
2006286,LT5,/projectnb/landsat/projects/Massachusetts/p013r031/images/LT50130312006286GNC01/LT50130312006286GNC01_all
2006294,LE7,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312006294EDC00/LE70130312006294EDC00_all
2006302,LT5,/projectnb/landsat/projects/Massachusetts/p013r031/images/LT50130312006302GNC01/LT50130312006302GNC01_all
2006310,LE7,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312006310EDC00/LE70130312006310EDC00_all
2006334,LT5,/projectnb/landsat/projects/Massachusetts/p013r031/images/LT50130312006334EDC00/LT50130312006334EDC00_all
2006342,LE7,/projectnb/landsat/projects/Massachusetts/p013r031/images/LE70130312006342EDC00/LE70130312006342EDC00_all
